"Reference","Value","Footprint","QUANTITY"
"A1","ESP32-S3-DevKitC-1","PCM_Espressif:ESP32-S3-DevKitC","1"
"C1","470uF 16V","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","1"
"C2","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1"
"C3","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"C4","22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"C5-C9","100nF","Capacitor_SMD:C_0805_2012Metric","5"
"J1","PANEL 1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J2","PANEL 2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J3","PANEL 3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J4","PANEL 4","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J5","PANEL 5","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J6","PANEL 6","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J7","PANEL 7","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J8","PANEL 8","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J9","PANEL 9","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J10","PANEL 10","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J11","PANEL 11","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J12","PANEL 12","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"J13","5V IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1"
"J14","SYNC IN (opt)","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"L1","10uH 2A","Inductor_SMD:L_Bourns_SRN6045TA","1"
"M1","WIZ850io J1","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"M2","WIZ850io J2","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"Q1","AO3401A","Package_TO_SOT_SMD:SOT-23","1"
"R1-R12","330","Resistor_SMD:R_0805_2012Metric","12"
"R13","100k","Resistor_SMD:R_0805_2012Metric","1"
"R14,R15","10k","Resistor_SMD:R_0805_2012Metric","2"
"U1,U2","SN74AHCT245N","Package_DIP:DIP-20_W7.62mm","2"
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1"
