Ref,Val,Package,PosX,PosY,Rot,Side
"A1L","PinHeader_1x22_P2.54mm_Vertical","PinHeader_1x22_P2.54mm_Vertical",135.570000,-67.000000,0.000000,top
"A1R","PinHeader_1x22_P2.54mm_Vertical","PinHeader_1x22_P2.54mm_Vertical",158.430000,-67.000000,0.000000,top
"C1","CP_Radial_D10.0mm_P3.50mm","CP_Radial_D10.0mm_P3.50mm",106.730000,-116.650000,0.000000,top
"C2","CP_Radial_D6.3mm_P2.50mm","CP_Radial_D6.3mm_P2.50mm",116.750000,-111.290000,0.000000,top
"C3","CP_Radial_D5.0mm_P2.50mm","CP_Radial_D5.0mm_P2.50mm",116.055000,-97.320000,0.000000,top
"C4","CP_Radial_D5.0mm_P2.50mm","CP_Radial_D5.0mm_P2.50mm",116.055000,-103.980000,0.000000,top
"C5","C_0805_2012Metric","C_0805_2012Metric",184.700000,-67.980000,0.000000,top
"C6","C_0805_2012Metric","C_0805_2012Metric",184.700000,-97.980000,0.000000,top
"C7","C_0805_2012Metric","C_0805_2012Metric",127.700000,-86.980000,0.000000,top
"C8","C_0805_2012Metric","C_0805_2012Metric",127.700000,-94.900000,0.000000,top
"C9","C_0805_2012Metric","C_0805_2012Metric",127.700000,-90.940000,0.000000,top
"J1","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",141.750000,-56.230000,180.000000,top
"J2","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",150.950000,-56.230000,180.000000,top
"J3","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",160.150000,-56.230000,180.000000,top
"J4","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",169.350000,-56.230000,180.000000,top
"J5","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",178.550000,-56.230000,180.000000,top
"J6","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",187.750000,-56.230000,180.000000,top
"J7","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",138.250000,-138.600000,0.000000,top
"J8","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",147.450000,-138.600000,0.000000,top
"J9","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",156.650000,-138.600000,0.000000,top
"J10","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",165.850000,-138.600000,0.000000,top
"J11","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",175.050000,-138.600000,0.000000,top
"J12","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",184.250000,-138.600000,0.000000,top
"J13","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",106.330000,-89.040000,-90.000000,top
"J14","PinHeader_1x02_P2.54mm_Vertical","PinHeader_1x02_P2.54mm_Vertical",112.770000,-138.270000,0.000000,top
"L1","L_Bourns_SRN6045TA","L_Bourns_SRN6045TA",106.500000,-106.820000,0.000000,top
"M1","PinHeader_1x06_P2.54mm_Vertical","PinHeader_1x06_P2.54mm_Vertical",104.770000,-65.000000,0.000000,top
"M2","PinHeader_1x06_P2.54mm_Vertical","PinHeader_1x06_P2.54mm_Vertical",125.090000,-65.000000,0.000000,top
"Q1","SOT-23","SOT-23",104.930000,-100.370000,0.000000,top
"R1","R_0805_2012Metric","R_0805_2012Metric",129.180000,-62.450000,0.000000,top
"R2","R_0805_2012Metric","R_0805_2012Metric",133.140000,-62.450000,0.000000,top
"R3","R_0805_2012Metric","R_0805_2012Metric",137.100000,-62.450000,0.000000,top
"R4","R_0805_2012Metric","R_0805_2012Metric",141.060000,-62.450000,0.000000,top
"R5","R_0805_2012Metric","R_0805_2012Metric",145.020000,-62.450000,0.000000,top
"R6","R_0805_2012Metric","R_0805_2012Metric",148.980000,-62.450000,0.000000,top
"R7","R_0805_2012Metric","R_0805_2012Metric",129.180000,-132.150000,0.000000,top
"R8","R_0805_2012Metric","R_0805_2012Metric",133.140000,-132.150000,0.000000,top
"R9","R_0805_2012Metric","R_0805_2012Metric",137.100000,-132.150000,0.000000,top
"R10","R_0805_2012Metric","R_0805_2012Metric",141.060000,-132.150000,0.000000,top
"R11","R_0805_2012Metric","R_0805_2012Metric",145.020000,-132.150000,0.000000,top
"R12","R_0805_2012Metric","R_0805_2012Metric",148.980000,-132.150000,0.000000,top
"R13","R_0805_2012Metric","R_0805_2012Metric",127.680000,-98.830000,0.000000,top
"R14","R_0805_2012Metric","R_0805_2012Metric",127.680000,-102.730000,0.000000,top
"R15","R_0805_2012Metric","R_0805_2012Metric",192.680000,-80.950000,0.000000,top
"R16","R_0805_2012Metric","R_0805_2012Metric",153.180000,-62.450000,0.000000,top
"R17","R_0805_2012Metric","R_0805_2012Metric",157.140000,-62.450000,0.000000,top
"R18","R_0805_2012Metric","R_0805_2012Metric",161.100000,-62.450000,0.000000,top
"R19","R_0805_2012Metric","R_0805_2012Metric",165.060000,-62.450000,0.000000,top
"R20","R_0805_2012Metric","R_0805_2012Metric",169.020000,-62.450000,0.000000,top
"R21","R_0805_2012Metric","R_0805_2012Metric",172.980000,-62.450000,0.000000,top
"R22","R_0805_2012Metric","R_0805_2012Metric",153.180000,-132.150000,0.000000,top
"R23","R_0805_2012Metric","R_0805_2012Metric",157.140000,-132.150000,0.000000,top
"R24","R_0805_2012Metric","R_0805_2012Metric",161.100000,-132.150000,0.000000,top
"R25","R_0805_2012Metric","R_0805_2012Metric",165.060000,-132.150000,0.000000,top
"R26","R_0805_2012Metric","R_0805_2012Metric",169.020000,-132.150000,0.000000,top
"R27","R_0805_2012Metric","R_0805_2012Metric",172.980000,-132.150000,0.000000,top
"U1","DIP-20_W7.62mm","DIP-20_W7.62mm",170.060000,-66.520000,0.000000,top
"U2","DIP-20_W7.62mm","DIP-20_W7.62mm",170.060000,-96.520000,0.000000,top
"U3","SOT-223-3_TabPin2","SOT-223-3_TabPin2",118.900000,-89.640000,0.000000,top
