Comment,Designator,Footprint,LCSC Part #,Note
Female header 1x22 2.54mm,"A1L,A1R",1x22 socket,C7499337,ZX-PM2.54-1-22PY 8.5mm - ESP32-S3-DevKitC-1 plugs in
Female header 1x06 2.54mm,"M1,M2",1x06 socket,C7499326,ZX-PM2.54-1-6PY 8.5mm - WIZ850io / USR-ES1 plugs in
IC socket DIP-20 7.62mm,"U1,U2",DIP-20,C2328,verified 8543 stock $0.0567 - SN74AHCT245N inserted by hand
AMS1117-3.3,U3,SOT-223,C6186,basic part - matched 2026-09-07
AO3401A,Q1,SOT-23,C15127,basic part; 1=G 2=S 3=D
10uH 2A,L1,SRN6045,C2046332,Bourns SRN6045TA-100M
470uF 16V,C1,Radial D10 P3.5,C165573,KMG 16V470 8x11.5 THT P3.5
100uF 16V,C2,Radial D6.3 P2.5,C43805,KS107M016E07 6.3x7 THT P2.5
10uF 100V,C3,Radial D5 P2.5,C2029,KM106M100E11 6.3x11 THT P2.5 (6.3 mm can on the D5 footprint - fits)
22uF 50V,C4,Radial D5 P2.5,C45098,KS226M050E07 6.3x7 THT P2.5 (6.3 mm can on the D5 footprint - fits)
100nF 50V X7R,"C5,C6,C7,C8,C9",0805,C49678,basic part
330R 1%,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12",0805,C17630,basic part - series termination
10k 1%,"R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27",0805,C17414,basic part - output pull-downs
10k 1%,R13,0805,C17414,basic part - Q1 gate pull-down (was 100k; C17407 short at order time)
10k 1%,"R14,R15",0805,C17414,basic part - W5500 reset pull-up / 245 output-enable pull-up (3V3E)
Terminal block 2P 3.50mm,"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12",TB 1x02 P3.50,C474892,KF350-3.5-2P - wire entry faces the board edge (silk triangle side)
Terminal block 2P 5.08mm,J13,TB 1x02 P5.08,C474952,KF128-5.08-2P-AA - wire entry faces the left edge
DIP switch 4P 2.54mm,SW1,SW_DIP_SPSTx04 7.62mm,C99418,DSWB04LHGET - column select; poles 1-2 = column 0-3 binary, 3-4 spare
Pin header 1x02 2.54mm,J14,1x02 header,,NOT POPULATED - optional sync input; fit by hand if ever needed
