Designator,Mid X,Mid Y,Layer,Rotation
A1L,135.5700,-93.6700,Top,270.0
A1R,160.9700,-93.6700,Top,270.0
C1,108.4800,-116.6500,Top,0.0
C2,118.0000,-111.2900,Top,0.0
C3,117.3050,-97.3200,Top,0.0
C4,117.3050,-103.9800,Top,0.0
C5,184.7000,-67.9800,Top,0.0
C6,184.7000,-97.9800,Top,0.0
C7,127.7000,-86.9800,Top,0.0
C8,127.7000,-94.9000,Top,0.0
C9,127.7000,-90.9400,Top,0.0
J1,140.0000,-56.2300,Top,180.0
J10,167.6000,-138.6000,Top,0.0
J11,176.8000,-138.6000,Top,0.0
J12,186.0000,-138.6000,Top,0.0
J13,106.3300,-91.5800,Top,270.0
J14,112.7700,-139.5400,Top,270.0
J2,149.2000,-56.2300,Top,180.0
J3,158.4000,-56.2300,Top,180.0
J4,167.6000,-56.2300,Top,180.0
J5,176.8000,-56.2300,Top,180.0
J6,186.0000,-56.2300,Top,180.0
J7,140.0000,-138.6000,Top,0.0
J8,149.2000,-138.6000,Top,0.0
J9,158.4000,-138.6000,Top,0.0
L1,106.5000,-106.8200,Top,0.0
M1,104.7700,-71.3500,Top,270.0
M2,125.0900,-71.3500,Top,270.0
Q1,104.9300,-100.3700,Top,180.0
R1,129.1800,-62.4500,Top,0.0
R10,141.0600,-132.1500,Top,0.0
R11,145.0200,-132.1500,Top,0.0
R12,148.9800,-132.1500,Top,0.0
R13,127.6800,-98.8300,Top,0.0
R14,127.6800,-102.7300,Top,0.0
R15,192.6800,-80.9500,Top,0.0
R16,153.1800,-62.4500,Top,0.0
R17,157.1400,-62.4500,Top,0.0
R18,161.1000,-62.4500,Top,0.0
R19,165.0600,-62.4500,Top,0.0
R2,133.1400,-62.4500,Top,0.0
R20,169.0200,-62.4500,Top,0.0
R21,172.9800,-62.4500,Top,0.0
R22,153.1800,-132.1500,Top,0.0
R23,157.1400,-132.1500,Top,0.0
R24,161.1000,-132.1500,Top,0.0
R25,165.0600,-132.1500,Top,0.0
R26,169.0200,-132.1500,Top,0.0
R27,172.9800,-132.1500,Top,0.0
R3,137.1000,-62.4500,Top,0.0
R4,141.0600,-62.4500,Top,0.0
R5,145.0200,-62.4500,Top,0.0
R6,148.9800,-62.4500,Top,0.0
R7,129.1800,-132.1500,Top,0.0
R8,133.1400,-132.1500,Top,0.0
R9,137.1000,-132.1500,Top,0.0
SW1,127.8100,-122.8100,Top,270.0
U1,176.3700,-77.9500,Top,270.0
U2,176.3700,-107.9500,Top,270.0
U3,118.9000,-89.6400,Top,180.0
